"Frame		",Resnet Landlord,ADP  Farmer
10222857900,0.422,0.578
10223894700,0.419,0.581
10210605100,0.415,0.585
10143509100,0.414,0.586
10204485100,0.413,0.587
10141496300,0.41,0.59
10186824300,0.41,0.59
10209592300,0.409,0.591
10266181100,0.409,0.591
10199721900,0.408,0.592
10118841900,0.407,0.593
10128053100,0.407,0.593
10265123500,0.407,0.593
10125945900,0.406,0.594
10207577900,0.404,0.596
10268209900,0.404,0.596
10140456300,0.403,0.597
10200659500,0.403,0.597
10264153900,0.403,0.597
10225899500,0.402,0.598
10269193900,0.402,0.598
10120902700,0.401,0.599
10158787500,0.401,0.599
10220760300,0.4,0.6
10184861100,0.399,0.601
10148646700,0.398,0.602
10171920300,0.398,0.602
10202467500,0.398,0.602
10138454700,0.397,0.603
10212672300,0.397,0.603
10123961900,0.396,0.604
10154742700,0.396,0.604
10197877100,0.395,0.605
10217800300,0.395,0.605
10132326700,0.394,0.606
10218798700,0.394,0.606
10136345900,0.393,0.607
10189854700,0.393,0.607
10123041900,0.392,0.608
10177886700,0.392,0.608
10150755500,0.391,0.609
10159777900,0.391,0.609
10164835500,0.391,0.609
10168904300,0.391,0.609
10194899500,0.391,0.609
10195769900,0.391,0.609
10226910700,0.391,0.609
10153726700,0.39,0.61
10145601900,0.389,0.611
10146638700,0.389,0.611
10205507500,0.389,0.611
10156750700,0.388,0.612
10182909100,0.388,0.612
10161814700,0.387,0.613
10215709100,0.387,0.613
10151685100,0.386,0.614
10117869100,0.384,0.616
10179870700,0.384,0.616
10187881900,0.384,0.616
10213667500,0.384,0.616
10191793900,0.382,0.618
10181821100,0.381,0.619
10166910700,0.38,0.62
10173840300,0.378,0.622
10169862700,0.375,0.625
10176920300,0.373,0.627
10192843500,0.371,0.629
10163875500,0.369,0.631
10174843500,0.369,0.631
10610323500,0.372,0.628
10611633900,0.4,0.6
10612309100,0.388,0.612
10613633900,0.385,0.615
10688163500,0.393,0.607
10690008300,0.385,0.615
10690913900,0.394,0.606
10686222700,0.392,0.608
10686859500,0.401,0.599
10688459500,0.396,0.604
10689347500,0.391,0.609
10691117100,0.393,0.607
10692080300,0.397,0.603
10693989100,0.389,0.611
10694870700,0.401,0.599
10696785900,0.392,0.608
10697728300,0.396,0.604
10698737900,0.395,0.605
10700133100,0.394,0.606
10700200300,0.391,0.609
10700310700,0.363,0.637
10701669100,0.353,0.647
10702544300,0.352,0.648
10704654700,0.373,0.627
10705808300,0.381,0.619
10709691500,0.37,0.63
10711733100,0.382,0.618
10712741100,0.385,0.615
10714715500,0.381,0.619
10774382700,0.388,0.612
10781245100,0.396,0.604
10783233900,0.405,0.595
10795125100,0.391,0.609
10797037100,0.383,0.617
11494907500,0.347,0.653
11495528300,0.37,0.63
11496848300,0.351,0.649
11497539500,0.366,0.634
11498184300,0.362,0.638
11501117100,0.369,0.631
11501797100,0.37,0.63
11569449900,1.0,0.0
11570080300,1.0,0.0
11570699500,1.0,0.0
